concept_id,subject_id,chapter_id,section_id,name_ko,definition_preview,formula_count,condition_count,property_count,prerequisite_count,misconception_count,generation_enabled,generation_notes,status,schema_version,content_version,created_at,updated_at
calculus.elementary_function_classification,calculus_1,calc1_ch01_functions_and_models,,선형모델·다항식·거듭제곱함수·유리함수·대수함수·초월함수,"함수는 대수적 구성 방식에 따라 선형함수, 다항식, 거듭제곱함수, 유리함수, 대수함수, 초월함수로 분류된다. 다항식에 대수적 연산(사칙연산·제곱근)을 적용해 만든 함수가 대수함수이며, 대수함수가 아닌 함수(삼각·지수·로그함수 등)를 초월함수라 한다.",4,3,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.exponential,calculus_1,calc1_ch01_functions_and_models,,지수함수,"밑 b>0, b≠1인 지수함수 f(x)=b^x는 무리수 지수에 대해서도 유리수 근삿값들 사이에 유일하게 존재하는 값으로 정의되며, 정의역은 실수 전체다. 접선 기울기가 1이 되는 밑을 자연상수 e로 정의한다.",4,2,3,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.function,calculus_1,calc1_ch01_functions_and_models,,"함수, 정의역과 치역","함수 f는 집합 D의 각 원소 x를 집합 E에 있는 오직 한 원소 f(x)에 대응시키는 규칙이다. D를 정의역, f(x)를 x에서 f의 함숫값이라 하고, x가 정의역에서 변할 때 f(x)의 모든 값의 집합을 치역이라 한다.",3,2,2,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.function_arithmetic_and_composition,calculus_1,calc1_ch01_functions_and_models,,함수의 사칙연산과 합성함수,"두 함수의 합·차·곱·몫으로 새 함수를 만들거나, 한 함수의 출력을 다른 함수의 입력으로 사용하는 합성으로 새 함수를 만들 수 있다.",5,3,1,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.function_symmetry_monotonicity,calculus_1,calc1_ch01_functions_and_models,,우함수·기함수와 증가·감소함수,"정의역의 모든 x에서 f(-x)=f(x)이면 우함수(짝함수), f(-x)=-f(x)이면 기함수(홀함수)라 한다. 구간 I에 속하는 모든 x1<x2에 대해 f(x1)<f(x2)이면 증가함수, f(x1)>f(x2)이면 감소함수다.",4,2,2,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.function_transformations,calculus_1,calc1_ch01_functions_and_models,,함수의 평행이동·확장·압축·대칭,"알고 있는 함수 y=f(x)로부터 수직·수평 이동, 확장·압축, 대칭이동을 적용해 새로운 함수를 만들 수 있다. 헤비사이드 함수와 |f(x)| 변환도 같은 틀에서 다루는 대표적 응용이다.",7,1,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.inverse_trig_function,calculus_1,calc1_ch01_functions_and_models,,역삼각함수,삼각함수는 일대일이 아니므로 정의역을 제한해야 역함수(역삼각함수)가 존재한다.,3,2,1,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.logarithm,calculus_1,calc1_ch01_functions_and_models,,로그함수와 로그법칙,"b>0, b≠1일 때 지수함수 f(x)=b^x의 역함수가 로그함수 log_b x이며, 정의역은 (0,∞), 치역은 실수 전체다. 밑이 e인 로그를 자연로그라 하고 ln x로 쓴다.",5,2,1,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.one_to_one_and_inverse_function,calculus_1,calc1_ch01_functions_and_models,,일대일함수와 역함수,"정의역의 서로 다른 두 값에 항상 서로 다른 함숫값을 대응시키는 함수를 일대일함수라 한다. f가 정의역 A, 치역 B를 갖는 일대일함수이면 역함수 f^{-1}은 정의역 B, 치역 A를 갖는다.",3,2,3,1,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
calculus.piecewise_and_special_functions,calculus_1,calc1_ch01_functions_and_models,,조각마다 정의된 함수와 절댓값 함수,"정의역의 각 부분에서 서로 다른 수식으로 정의되어 있는 함수를 조각마다 정의된 함수라 하며, 그래프가 계단 모양으로 나타나는 것을 계단 함수라 한다. 절댓값 함수 f(x)=|x|도 대표적인 조각별 정의 예시다.",2,1,2,2,2,true,,draft,1.0.0,1,2026-08-01 05:53:04.179073+09:00,2026-08-01 14:27:39.291788+09:00
